,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,features,cluster
0,42,0.729,0.998,8.0,-8.161,1.0,0.0614,0.00283,0.298,0.09,0.653,146.006,4.0,"[42.0,0.729,0.998,8.0,-8.161,1.0,0.0614,0.00283,0.298,0.09,0.653,146.006,4.0]",2
1,52,0.83,0.688,5.0,-9.539,0.0,0.0706,0.0621,0.708,0.12,0.73,123.979,4.0,"[52.0,0.83,0.688,5.0,-9.539,0.0,0.0706,0.0621,0.708,0.12,0.73,123.979,4.0]",2
2,3,0.923,0.564,11.0,-9.748,0.0,0.123,0.00506,0.164,0.0423,0.734,124.979,4.0,"[3.0,0.923,0.564,11.0,-9.748,0.0,0.123,0.00506,0.164,0.0423,0.734,124.979,4.0]",0
3,42,0.374,0.571,3.0,-10.513,0.0,0.0748,0.71,0.538,0.139,0.0379,127.014,4.0,"[42.0,0.374,0.571,3.0,-10.513,0.0,0.0748,0.71,0.538,0.139,0.0379,127.014,4.0]",2
4,39,0.649,0.861,11.0,-6.255,0.0,0.0472,0.00501,0.873,0.287,0.612,132.998,4.0,"[39.0,0.649,0.861,11.0,-6.255,0.0,0.0472,0.00501,0.873,0.287,0.612,132.998,4.0]",2
5,42,0.645,0.96,10.0,-5.807,0.0,0.0385,0.000336,0.898,0.0765,0.965,148.006,4.0,"[42.0,0.645,0.96,10.0,-5.807,0.0,0.0385,0.000336,0.898,0.0765,0.965,148.006,4.0]",2
6,34,0.606,0.996,7.0,-7.465,1.0,0.0478,0.0166,0.753,0.22,0.364,149.976,4.0,"[34.0,0.606,0.996,7.0,-7.465,1.0,0.0478,0.0166,0.753,0.22,0.364,149.976,4.0]",0
7,51,0.668,0.897,3.0,-8.289,0.0,0.0492,0.202,0.901,0.0986,0.516,127.972,4.0,"[51.0,0.668,0.897,3.0,-8.289,0.0,0.0492,0.202,0.901,0.0986,0.516,127.972,4.0]",2
8,43,0.796,0.657,2.0,-9.726,1.0,0.0649,0.0279,0.897,0.0926,0.221,132.992,4.0,"[43.0,0.796,0.657,2.0,-9.726,1.0,0.0649,0.0279,0.897,0.0926,0.221,132.992,4.0]",2
9,48,0.712,0.935,11.0,-4.213,1.0,0.0712,5.62e-05,0.868,0.0511,0.903,155.007,4.0,"[48.0,0.712,0.935,11.0,-4.213,1.0,0.0712,5.62e-05,0.868,0.0511,0.903,155.007,4.0]",2
